Dates	XOM	XOM_Position	INTC	INTC_Position
12/23/2016	90.71	156	36.97	200
12/22/2016	90.87	156	36.93	200
12/21/2016	90.28	156	36.98	200
12/20/2016	90.43	156	37.21	200
12/19/2016	90.42	156	36.89	200
12/16/2016	91.18	156	36.31	200
12/15/2016	90.89	156	36.79	200
12/14/2016	90.58	156	36.55	200
12/13/2016	92.58	156	36.8	200
12/12/2016	90.98	156	35.97	200
12/9/2016	89	156	35.76	200
12/8/2016	88.32	156	35.7	200
12/7/2016	88.07	156	35.5	200
12/6/2016	87.56	156	34.72	200
12/5/2016	87.48	156	34.39	200
12/2/2016	87.04	156	34.16	200
12/1/2016	87.24	156	33.76	200
11/30/2016	87.3	156	34.7	200
11/29/2016	85.9	156	35.31	200
11/28/2016	86.47	156	35.51	200
11/25/2016	87.12	156	35.44	200
11/23/2016	86.92	156	35.2	200
11/22/2016	86.68	156	35.48	200
11/21/2016	86.49	156	34.98	200
11/18/2016	85.28	156	34.95	200
11/17/2016	85.23	156	35.02	200
11/16/2016	85.75	156	34.84	200
11/15/2016	86.82	156	34.91	200
11/14/2016	85.28	156	34.48	200
11/11/2016	85.67	156	34.61	200
11/10/2016	87.05	156	34.5	200
11/9/2016	86.25	156	34.75	200
11/8/2016	85.31	156	34.74	200
11/7/2016	85.45	156	34.69	200
11/4/2016	83.57	156	33.61	200
11/3/2016	83.66	156	33.93	200
11/2/2016	83.45	156	34.6	200
11/1/2016	83.65	156	34.52	200
10/31/2016	83.32	156	34.87	200
10/28/2016	84.78	156	34.74	200
10/27/2016	86.92	156	34.81	200
10/26/2016	87.09	156	34.92	200
10/25/2016	86.72	156	35.1	200
10/24/2016	86.91	156	35.26	200
10/21/2016	86.62	156	35.15	200
10/20/2016	87.21	156	35.43	200
10/19/2016	87.17	156	35.51	200
10/18/2016	86.77	156	37.75	200
10/17/2016	86.54	156	37.29	200
10/14/2016	86.54	156	37.45	200
10/13/2016	86.56	156	36.97	200
10/12/2016	87.13	156	37.13	200
10/11/2016	87.74	156	37.27	200
10/10/2016	88.44	156	38.02	200
10/7/2016	86.74	156	38.1	200
10/6/2016	87.04	156	38.07	200
10/5/2016	87	156	37.99	200
10/4/2016	86.25	156	37.54	200
10/3/2016	87.05	156	37.66	200
9/30/2016	87.28	156	37.75	200
9/29/2016	86.46	156	37.32	200
9/28/2016	86.9	156	37.44	200
9/27/2016	83.24	156	37.18	200
9/26/2016	83.06	156	36.65	200
9/23/2016	83.45	156	37.19	200
9/22/2016	83.54	156	37.55	200
9/21/2016	83.3	156	37.45	200
9/20/2016	82.54	156	37.14	200
9/19/2016	83.83	156	37.16	200
9/16/2016	84.03	156	37.67	200
9/15/2016	85.08	156	36.56	200
9/14/2016	84.6	156	35.62	200
9/13/2016	85.21	156	35.61	200
9/12/2016	87.29	156	36.08	200
9/9/2016	86.84	156	35.44	200
9/8/2016	89.05	156	36.44	200
9/7/2016	88.24	156	36.46	200
9/6/2016	88.57	156	36.57	200
9/2/2016	87.42	156	36.08	200
9/1/2016	86.84	156	36.02	200
8/31/2016	87.14	156	35.89	200
8/30/2016	87.52	156	35.7	200
8/29/2016	87.84	156	35.55	200
8/26/2016	87.27	156	35.26	200
8/25/2016	87.46	156	35.09	200
8/24/2016	88.02	156	35.15	200
8/23/2016	87.72	156	35.4	200
8/22/2016	87.99	156	35.36	200
8/19/2016	87.8	156	35.24	200
8/18/2016	88.91	156	34.97	200
8/17/2016	88.11	156	35.02	200
8/16/2016	87.92	156	35.21	200
8/15/2016	87.81	156	34.91	200
8/12/2016	87.85	156	34.57	200
8/11/2016	86.72	156	34.68	200
8/10/2016	86.41	156	34.53	200
8/9/2016	88.7	156	34.92	200
8/8/2016	88.59	156	35.04	200
8/5/2016	87.56	156	34.98	200
8/4/2016	87.48	156	34.58	200
8/3/2016	87.49	156	34.25	200
8/2/2016	87.04	156	34.56	200
8/1/2016	85.86	156	34.85	200
7/29/2016	88.95	156	34.86	200
7/28/2016	90.2	156	34.77	200
7/27/2016	90.91	156	34.83	200
7/26/2016	91.53	156	35.09	200
7/25/2016	92.2	156	34.69	200
7/22/2016	94.01	156	34.66	200
7/21/2016	93.85	156	34.27	200
7/20/2016	93.93	156	35.69	200
7/19/2016	94.47	156	35.15	200
7/18/2016	94.82	156	35.05	200
7/15/2016	95.12	156	35.07	200
7/14/2016	94.95	156	35.2	200
7/13/2016	94.88	156	35.01	200
7/12/2016	94.95	156	34.94	200
7/11/2016	93.89	156	34.38	200
7/8/2016	93.54	156	34	200
7/7/2016	92.96	156	33.2	200
7/6/2016	94.09	156	32.97	200
7/5/2016	93.02	156	32.68	200
7/1/2016	93.84	156	32.75	200
6/30/2016	93.74	156	32.8	200
6/29/2016	92.46	156	31.93	200
6/28/2016	90.91	156	31.19	200
6/27/2016	88.86	156	30.72	200
6/24/2016	89.39	156	31.55	200
6/23/2016	91.8	156	32.99	200
6/22/2016	91.17	156	32.29	200
6/21/2016	91.53	156	32.32	200
6/20/2016	91.12	156	32.17	200
6/17/2016	90.72	156	31.76	200
6/16/2016	91.22	156	31.69	200
6/15/2016	90.16	156	31.61	200
6/14/2016	90.43	156	32.14	200
6/13/2016	90.59	156	32.17	200
6/10/2016	89.98	156	32.04	200
6/9/2016	90.67	156	31.94	200
6/8/2016	90.79	156	31.89	200
6/7/2016	90.71	156	31.88	200
6/6/2016	89.34	156	31.68	200
6/3/2016	88.37	156	31.62	200
6/2/2016	88.53	156	31.76	200
6/1/2016	89.24	156	31.66	200
5/31/2016	89.02	156	31.59	200
5/27/2016	90.01	156	31.57	200
5/26/2016	89.8	156	31.49	200
5/25/2016	90.26	156	31.39	200
5/24/2016	89.67	156	31.06	200
5/23/2016	89.6	156	30.23	200
5/20/2016	89.74	156	30.15	200
5/19/2016	90.11	156	29.63	200
5/18/2016	89.35	156	29.99	200
5/17/2016	89.53	156	29.98	200
5/16/2016	89.57	156	30.39	200
5/13/2016	88.66	156	29.91	200
5/12/2016	89.67	156	29.76	200
5/11/2016	88.81	156	30.06	200
5/10/2016	89.99	156	30.14	200
5/9/2016	88.57	156	29.8	200
5/6/2016	88.51	156	30.04	200
5/5/2016	88.04	156	29.9	200
5/4/2016	87.94	156	29.85	200
5/3/2016	88.11	156	30.36	200
5/2/2016	89.13	156	30.61	200
4/29/2016	88.4	156	30.28	200
4/28/2016	88.03	156	31.11	200
4/27/2016	88.46	156	31.75	200
4/26/2016	87.63	156	31.4	200
4/25/2016	87.33	156	31.39	200
4/22/2016	87.53	156	31.64	200
4/21/2016	86.79	156	31.97	200
4/20/2016	86.8	156	32	200
4/19/2016	86.21	156	31.6	200
4/18/2016	85.78	156	31.65	200
4/15/2016	84.97	156	31.46	200
4/14/2016	85.43	156	31.8	200
4/13/2016	84.83	156	32.13	200
4/12/2016	84.35	156	31.86	200
4/11/2016	83.32	156	31.67	200
4/8/2016	83.21	156	31.63	200
4/7/2016	82.37	156	31.55	200
4/6/2016	83.31	156	32.08	200
4/5/2016	82.21	156	31.9	200
4/4/2016	83.16	156	32	200
4/1/2016	82.96	156	32.45	200
3/31/2016	83.59	156	32.35	200
3/30/2016	84.52	156	32.71	200
3/29/2016	84.53	156	32.38	200
3/28/2016	84.22	156	31.9	200
3/24/2016	83.98	156	31.88	200
3/23/2016	83.75	156	32	200
3/22/2016	84.12	156	32.32	200
3/21/2016	83.62	156	32.34	200
3/18/2016	84.2	156	32.68	200
3/17/2016	84.1	156	31.98	200
3/16/2016	82.87	156	31.69	200
3/15/2016	82.82	156	31.65	200
3/14/2016	82.41	156	31.43	200
3/11/2016	82.19	156	31.76	200
3/10/2016	82.18	156	31.25	200
3/9/2016	82.4	156	30.865	200
3/8/2016	82.63	156	30.56	200
3/7/2016	84.46	156	30.94	200
3/4/2016	82.29	156	30.63	200
3/3/2016	82.4	156	30.58	200
3/2/2016	82.7	156	30.54	200
3/1/2016	81.28	156	30.37	200
2/29/2016	80.15	156	29.59	200
2/26/2016	81.75	156	29.8	200
2/25/2016	82.01	156	29.62	200
2/24/2016	81.52	156	29.19	200
2/23/2016	81.23	156	28.8	200
2/22/2016	82.39	156	29.35	200
2/19/2016	82.5	156	28.71	200
2/18/2016	82.45	156	29.42	200
2/17/2016	82	156	29.47	200
2/16/2016	81.22	156	28.78	200
2/12/2016	81.03	156	28.64	200
2/11/2016	79.6	156	28.22	200
2/10/2016	79.35	156	28.23	200
2/9/2016	80.08	156	28.81	200
2/8/2016	81.16	156	28.82	200
2/5/2016	80.08	156	29.04	200
2/4/2016	79.83	156	29.77	200
2/3/2016	78.48	156	29.34	200
2/2/2016	74.59	156	29.8	200
2/1/2016	76.29	156	30.82	200
1/29/2016	77.85	156	31.02	200
1/28/2016	76.99	156	29.97	200
1/27/2016	75.29	156	29.81	200
1/26/2016	76.7	156	29.94	200
1/25/2016	73.98	156	29.6	200
1/22/2016	76.57	156	29.925	200
1/21/2016	74.1	156	29.66	200
1/20/2016	73.18	156	29.59	200
1/19/2016	76.4	156	29.8	200
1/15/2016	77.58	156	29.76	200
1/14/2016	79.12	156	32.74	200
1/13/2016	75.65	156	31.91	200
1/12/2016	75.2	156	32.68	200
1/11/2016	73.69	156	32.06	200
1/8/2016	74.69	156	31.51	200
1/7/2016	76.23	156	31.84	200
1/6/2016	77.47	156	33.08	200
1/5/2016	78.12	156	33.83	200
1/4/2016	77.46	156	33.99	200
12/31/2015	77.95	156	34.45	200
12/30/2015	78.11	156	34.99	200
12/29/2015	79.16	156	35.44	200
12/28/2015	78.74	156	34.93	200
12/24/2015	79.33	156	34.98	200
12/23/2015	80.19	156	35	200
12/22/2015	77.65	156	34.73	200
12/21/2015	77.26	156	34.24	200
12/18/2015	77.28	156	33.865	200
12/17/2015	77.96	156	34.91	200
12/16/2015	79.15	156	35.3	200
12/15/2015	79.43	156	35.18	200
12/14/2015	76.03	156	34.47	200
12/11/2015	74.34	156	34.27	200
12/10/2015	75.69	156	34.77	200
12/9/2015	75.63	156	34.81	200
12/8/2015	74.63	156	34.75	200
12/7/2015	76.8	156	34.985	200
12/4/2015	78.86	156	34.935	200
12/3/2015	78.41	156	34.04	200
12/2/2015	79.55	156	34.83	200
12/1/2015	81.89	156	35.09	200
11/30/2015	81.66	156	34.77	200
11/27/2015	81.23	156	34.46	200
11/25/2015	81.25	156	34.45	200
11/24/2015	81.88	156	34.36	200
11/23/2015	80.28	156	34.48	200
11/20/2015	79.79	156	34.66	200
11/19/2015	80.3	156	34.3	200
11/18/2015	80.74	156	33.16	200
11/17/2015	79.96	156	32.64	200
11/16/2015	80.9	156	32.1	200
11/13/2015	78.1	156	32.11	200
11/12/2015	79.41	156	32.4	200
11/11/2015	81.62	156	32.86	200
11/10/2015	82.35	156	33.21	200
11/9/2015	81.95	156	33.35	200
11/6/2015	84.47	156	33.84	200
11/5/2015	84.81	156	34	200
11/4/2015	85.98	156	34.15	200
11/3/2015	86.85	156	34.31	200
11/2/2015	85.28	156	34.11	200
10/30/2015	82.74	156	33.86	200
10/29/2015	82.23	156	34.03	200
10/28/2015	82.28	156	34.71	200
10/27/2015	81.09	156	34.47	200
10/26/2015	81.22	156	34.59	200
10/23/2015	82.98	156	34.9	200
10/22/2015	82.89	156	34.4	200
10/21/2015	80.21	156	33.37	200
10/20/2015	80.83	156	33.44	200
10/19/2015	80.99	156	33.59	200
10/16/2015	82.48	156	33.04	200
10/15/2015	81.48	156	32.75	200
10/14/2015	80.16	156	32.8	200
10/13/2015	79.16	156	32.04	200
10/12/2015	79.3	156	32.21	200
10/9/2015	79.26	156	32.14	200
10/8/2015	80.03	156	32.52	200
10/7/2015	79.2	156	32.315	200
10/6/2015	77.89	156	31.74	200
